location,time,hour,minute,v_occ_min,w_occ_min,v_occ,win,wout,raw_occ_min,groundtruth
132,2016-04-18 00:00:00,0.0,0.0,137.0,486.0,18.0,46,45,1048,387.0
132,2016-04-15 20:45:00,20.0,45.0,306.0,387.0,9.0,8,10,535,184.0
132,2016-04-13 23:15:00,23.0,15.0,107.0,380.0,15.0,16,14,774,144.0
132,2016-04-17 23:00:00,23.0,0.0,252.0,540.0,16.0,49,44,944,342.0
132,2016-04-14 01:30:00,1.0,30.0,152.0,427.0,13.0,26,31,1066,121.0
132,2016-04-14 18:45:00,18.0,45.0,104.0,397.0,8.0,27,26,59,57.0
132,2016-04-18 17:45:00,17.0,45.0,9.0,114.0,7.0,8,7,-21,33.0
132,2016-04-13 17:15:00,17.0,15.0,143.0,297.0,0.0,22,18,200,121.0
132,2016-04-15 17:30:00,17.0,30.0,40.0,438.0,5.0,6,9,40,92.0
132,2016-04-13 22:00:00,22.0,0.0,246.0,428.0,7.0,23,24,772,96.0
132,2016-04-19 01:15:00,1.0,15.0,52.0,113.0,18.0,23,17,540,162.0
132,2016-04-13 19:15:00,19.0,15.0,196.0,421.0,2.0,10,4,439,128.0
132,2016-04-17 19:00:00,19.0,0.0,75.0,497.0,9.0,43,47,65,137.0
132,2016-04-18 23:45:00,23.0,45.0,56.0,145.0,23.0,17,14,326,60.0
132,2016-04-16 17:45:00,17.0,45.0,56.0,366.0,13.0,19,17,109,95.0
132,2016-04-16 23:45:00,23.0,45.0,751.0,154.0,8.0,42,68,2743,272.0
132,2016-04-16 21:15:00,21.0,15.0,149.0,437.0,35.0,71,47,1220,224.0
132,2016-04-19 02:00:00,2.0,0.0,78.0,168.0,15.0,28,22,683,138.0
132,2016-04-13 23:30:00,23.0,30.0,132.0,377.0,14.0,29,26,831,190.0
132,2016-04-17 01:45:00,1.0,45.0,344.0,192.0,2.0,70,66,3175,167.0
132,2016-04-18 01:15:00,1.0,15.0,84.0,435.0,15.0,74,80,1299,138.0
132,2016-04-14 17:00:00,17.0,0.0,15.0,267.0,1.0,6,6,1,8.0
132,2016-04-18 22:30:00,22.0,30.0,43.0,120.0,25.0,12,7,170,125.0
132,2016-04-15 19:45:00,19.0,45.0,141.0,496.0,11.0,36,35,287,171.0
132,2016-04-16 00:30:00,0.0,30.0,123.0,474.0,27.0,23,25,806,122.0
132,2016-04-19 00:30:00,0.0,30.0,58.0,160.0,22.0,22,15,435,86.0
132,2016-04-18 21:00:00,21.0,0.0,23.0,113.0,26.0,6,5,23,45.0
132,2016-04-17 18:15:00,18.0,15.0,60.0,463.0,4.0,35,27,-17,206.0
132,2016-04-13 22:30:00,22.0,30.0,152.0,397.0,16.0,21,27,740,80.0
132,2016-04-15 22:00:00,22.0,0.0,84.0,351.0,29.0,23,28,419,41.0
132,2016-04-16 18:45:00,18.0,45.0,59.0,387.0,33.0,34,27,243,148.0
132,2016-04-13 18:30:00,18.0,30.0,74.0,400.0,12.0,5,7,224,46.0
132,2016-04-17 02:15:00,2.0,15.0,295.0,141.0,0.0,54,50,3342,129.0
132,2016-04-15 18:45:00,18.0,45.0,104.0,389.0,10.0,42,38,169,99.0
132,2016-04-14 19:30:00,19.0,30.0,28.0,336.0,18.0,17,18,-32,37.0
132,2016-04-18 17:00:00,17.0,0.0,6.0,98.0,0.0,1,0,6,4.0
132,2016-04-18 19:00:00,19.0,0.0,73.0,108.0,11.0,3,3,43,101.0
132,2016-04-13 20:30:00,20.0,30.0,301.0,464.0,6.0,30,34,656,72.0
132,2016-04-14 23:00:00,23.0,0.0,37.0,373.0,46.0,25,28,-53,63.0
132,2016-04-18 22:00:00,22.0,0.0,57.0,119.0,25.0,10,9,123,147.0
132,2016-04-16 17:30:00,17.0,30.0,78.0,351.0,8.0,13,15,112,83.0
132,2016-04-17 19:30:00,19.0,30.0,44.0,556.0,17.0,41,38,103,68.0
132,2016-04-18 19:15:00,19.0,15.0,24.0,147.0,16.0,0,4,-6,40.0
132,2016-04-15 23:00:00,23.0,0.0,156.0,391.0,33.0,25,34,606,78.0
132,2016-04-17 22:00:00,22.0,0.0,389.0,558.0,2.0,66,62,894,443.0
132,2016-04-17 21:15:00,21.0,15.0,201.0,588.0,1.0,46,32,530,385.0
132,2016-04-16 20:30:00,20.0,30.0,234.0,446.0,31.0,49,49,1016,254.0
132,2016-04-16 22:45:00,22.0,45.0,681.0,444.0,2.0,65,41,2351,285.0
132,2016-04-13 21:15:00,21.0,15.0,292.0,432.0,2.0,18,17,736,85.0
132,2016-04-16 23:00:00,23.0,0.0,871.0,0.0,0.0,29,33,2628,288.0
132,2016-04-14 19:00:00,19.0,0.0,117.0,433.0,11.0,16,18,72,136.0
132,2016-04-14 02:30:00,2.0,30.0,253.0,349.0,0.0,36,33,1327,123.0
132,2016-04-15 22:45:00,22.0,45.0,201.0,354.0,22.0,42,41,618,112.0
132,2016-04-17 01:00:00,1.0,0.0,641.0,153.0,0.0,69,56,3150,242.0
132,2016-04-14 02:15:00,2.0,15.0,206.0,356.0,2.0,37,33,1238,99.0
132,2016-04-17 00:15:00,0.0,15.0,586.0,202.0,19.0,51,57,2789,99.0
