location,time,hour,minutes,video occ minutes,wifi occ minutes,video occupancy,groundtruth occ minutes,fusion occ minutes
113,2016-04-14 23:00:00,23.0,0.0,102.0,423.0,7.0,172.0,232
113,2016-04-18 22:00:00,22.0,0.0,34.0,286.0,2.0,112.0,146
113,2016-04-15 04:45:00,4.0,45.0,0.0,231.0,0.0,0.0,5
113,2016-04-19 04:30:00,4.0,30.0,15.0,124.0,0.0,15.0,5
113,2016-04-18 02:15:00,2.0,15.0,317.0,374.0,17.0,180.0,308
113,2016-04-17 19:30:00,19.0,30.0,66.0,414.0,1.0,179.0,196
113,2016-04-18 19:15:00,19.0,15.0,47.0,270.0,3.0,113.0,83
113,2016-04-15 23:00:00,23.0,0.0,280.0,374.0,19.0,450.0,459
113,2016-04-17 22:00:00,22.0,0.0,52.0,395.0,5.0,755.0,690
113,2016-04-17 01:15:00,1.0,15.0,233.0,578.0,13.0,655.0,644
113,2016-04-16 20:30:00,20.0,30.0,352.0,413.0,20.0,342.0,378
113,2016-04-16 22:45:00,22.0,45.0,98.0,498.0,13.0,558.0,631
113,2016-04-13 21:15:00,21.0,15.0,28.0,294.0,2.0,114.0,148
113,2016-04-16 23:00:00,23.0,0.0,213.0,545.0,14.0,727.0,759
113,2016-04-14 19:00:00,19.0,0.0,133.0,412.0,6.0,96.0,200
113,2016-04-14 02:30:00,2.0,30.0,68.0,322.0,4.0,252.0,228
113,2016-04-15 22:45:00,22.0,45.0,192.0,384.0,17.0,496.0,442
113,2016-04-14 02:15:00,2.0,15.0,113.0,325.0,7.0,282.0,214
113,2016-04-17 00:15:00,0.0,15.0,74.0,526.0,9.0,724.0,708
113,2016-04-17 04:30:00,4.0,30.0,38.0,270.0,0.0,1.0,45
