-38,-50,23,327,674,10,7,2
-66,-79,28,234,674,4,7,2
-68,-75,10,140,40,0,0,3
-62,-77,34,239,672,6,7,2
-42,-54,28,169,62,0,0,3
-66,-86,15,299,673,6,7,2
-58,-63,4,419,487,2,7,2
-40,-46,9,375,486,7,7,2
-40,-48,21,41,54,2,0,3
-34,-42,34,75,631,30,6,2
-42,-51,27,91,667,188,7,2
-36,-49,62,168,237,7,1,3
-62,-72,31,17,183,1,2,4
-42,-60,42,22,42,6,2,3
-44,-52,21,24,571,365,7,4
-46,-59,12,83,92,9,0,4
-40,-75,111,351,506,8,2,1
-40,-54,46,52,14,1,0,3
-46,-52,9,452,487,4,7,2
-44,-54,37,71,671,5,7,2
-36,-54,93,67,177,1,0,3
-46,-58,23,104,672,70,7,2
-36,-52,82,65,187,159,0,4
-38,-75,105,49,557,410,4,4
-36,-59,161,159,507,2,3,1
-40,-85,17,1295,672,0,7,2
-34,-54,83,498,108,0,0,4
-52,-56,12,95,649,55,7,2
-42,-56,49,68,494,141,6,1
-34,-48,104,199,292,1,0,3
-46,-69,38,233,351,11,0,4
-36,-59,47,61,153,3,3,1
-42,-49,15,61,657,66,7,2
-34,-43,27,14,39,33,0,4
-40,-52,44,79,656,410,7,2
-42,-46,7,36,657,425,5,4
-34,-46,20,29,632,151,7,2
-42,-49,16,23,21,0,0,3
-38,-63,89,95,424,0,0,4
-24,-49,212,31,537,527,3,4
-40,-64,104,458,546,5,4,1
-40,-51,16,389,487,5,7,2
-36,-62,109,61,507,1,3,1
-44,-63,39,218,672,10,7,2
-32,-55,60,111,591,69,4,1
-48,-64,49,158,177,3,0,3
-44,-62,131,70,405,118,0,4
-66,-76,19,38,640,57,7,2
-46,-64,70,227,351,2,5,1
-74,-84,14,324,673,3,7,2
-68,-76,24,46,9,2,0,3
-40,-48,31,167,168,42,0,3
-36,-47,22,497,634,1,3,2
-48,-66,74,160,260,4,0,3
-36,-44,11,175,666,1,7,2
-40,-59,74,23,550,1,3,1
-42,-59,121,44,45,1,0,3
-40,-57,65,83,109,0,0,3
