1:7,48,54,44,15
1:1,48,52,47,15
1:3,46,50,43,15
0:2,48,51,45,15
1:2,47,49,44,15
1:11,47,54,43,15
1:3,48,51,45,15
0:5,47,51,43,15
0:1,35,38,33,15
0:2,36,39,35,15
1:5,48,54,45,15
1:3,46,50,44,15
1:3,48,51,45,15
1:3,47,53,45,15
1:3,48,53,46,15
0:0,37,39,36,15
1:24,44,55,37,15
1:4,48,52,43,15
0:1,39,42,38,15
1:4,47,52,43,15
1:5,46,50,42,15
1:4,44,48,40,15
0:17,46,54,38,15
1:2,49,52,47,15
1:2,48,51,44,15
0:3,36,41,33,15
1:2,50,53,46,15
0:2,48,52,46,15
1:5,46,51,42,15
1:5,50,58,47,15
1:5,50,56,47,15
0:2,36,39,34,15
1:3,48,51,44,15
1:3,46,50,44,15
1:4,47,51,44,15
1:4,47,53,45,15
1:1,49,51,46,15
1:4,46,51,42,15
1:7,47,53,43,15
1:4,42,47,40,15
0:3,35,38,32,15
1:4,49,53,46,15
1:2,47,50,44,15
1:2,49,53,48,15
1:5,47,50,43,15
1:6,47,52,43,15
1:6,47,51,42,15
