1:6,46,53,43,15
1:2,45,49,43,15
1:5,46,50,42,15
1:2,47,51,45,15
1:7,47,52,43,15
1:3,51,55,48,15
1:14,46,54,40,15
0:2,46,49,43,15
1:3,49,52,46,15
0:5,39,44,37,15
1:1,46,49,44,15
0:6,40,47,38,15
1:6,45,50,40,15
0:8,36,45,33,15
1:9,46,52,42,15
1:5,47,52,42,15
1:5,46,50,42,15
0:2,39,44,38,15
1:6,49,56,46,15
1:3,49,56,47,15
1:3,48,52,45,15
1:9,47,53,42,15
1:2,48,52,45,15
1:7,48,54,45,15
1:7,46,55,43,15
1:4,47,52,44,15
0:2,35,39,34,15
1:3,51,55,48,15
1:9,46,52,41,15
1:4,48,52,45,15
1:4,49,53,45,15
1:6,48,52,44,15
0:3,47,52,45,15
1:5,47,50,42,15
1:1,46,49,44,15
1:2,48,51,46,15
0:11,38,51,36,15
0:1,35,38,34,15
0:1,37,39,35,15
1:1,46,49,44,15
1:2,50,53,48,15
0:2,36,40,34,15
1:4,46,52,43,15
1:5,46,50,44,15
